Primary SPU	Sub-units
Academic Deans	Academic Deans - Dean of Academic Instruction
Academic Deans	Academic Deans - Dean of Academic Initiatives
Academic Deans	Academic Deans - Dean of Adjuncts
Admissions	
Athletics	Athletics - Baseball
Athletics	Athletics - Men's Basketball
Athletics	Athletics - Women's Basketball
Athletics	Athletics - Cross Country
Athletics	Athletics - Esports
Athletics	Athletics - Softball
Athletics	Athletics - Men's Soccer
Athletics	Athletics - Women's Soccer
Athletics	Athletics - Volleyball
Bursar's Office	
Business Office	
Campus Ministries	
Curriculum Services	
Enrollment Management and Operations	Enrollment and Operations - Enrollment
Enrollment Management and Operations	Enrollment and Operations - Operations
Facilities Grounds and Transportation	
Financial Aid	
Human Resources	
Information Technology	
Institutional Research and Effectiveness	
Learning Resource Center	
Office of the President	
Registrar	
School of Behavioral Science and Counseling	Sch. of Beh. Sci. & Coun - Psychology
School of Behavioral Science and Counseling	Sch. of Beh. Sci. & Coun - Counseling
School of Business	Sch. of Bus. - Accounting and Ethics
School of Business	Sch. of Bus. - Bus. Admin. and Ethics
School of Business	Sch. of Bus. - Digital Mktg.
School of Business	Sch. of Bus. - Healthcare Mgmt. and Ethics
School of Business	Sch. of Bus. - Mgmt. and Ethics
School of Business	Sch. of Bus. - Master of Business Admin.
School of Business	Sch. of Bus. - Sports Mgmt. and Ethics
School of Engineering, Math, and Physics	Sch. of E.M.P. - Cyber. / Network Mgmt. and Sec.
School of Engineering, Math, and Physics	Sch. of E.M.P - Data Analytics
School of Engineering, Math, and Physics	Sch. of E.M.P - Engineering
School of Engineering, Math, and Physics	Sch. of E.M.P - Mathematics
School of English	
School of Humanities and Social Sciences	Sch. of Hum. and Soc. Sci. - General Studies, AA
School of Humanities and Social Sciences	Sch. of Hum. and Soc. Sci. - Criminal Justice
School of Humanities and Social Sciences	Sch. of Hum. and Soc. Sci. - Interdisciplinary Studies
School of Humanities and Social Sciences	Sch. of Hum. and Soc. Sci. - Media Prod. and Comm.
School of Ministry	Sch. of Min. - Christian Ministry
School of Ministry	Sch. of Min. - Min. Leadership
School of Ministry	Sch. of Min. - MA in Christian Min.
School of Nursing	Sch. of Nursing - AS Nursing
School of Nursing	Sch. of Nursing - BS Nursing
School of Science	Sch. of Science - Biology
School of Teacher Education	Sch. of Teach. Ed. - Early Child. Edu.
School of Teacher Education	Sch. of Teach. Ed. - Educational Studies
School of Teacher Education	Sch. of Teach. Ed. - Elementary. Edu.
School of Teacher Education	Sch. of Teach. Ed. - Secondary Edu.
School of Teacher Education	Sch. of Teach. Ed. - MED Curriculum and Inst.
School of Teacher Education	Sch. of Teach. Ed. - MED Ed. Lead. and Admin.
School of Teacher Education	Sch. of Teach. Ed. - MED Sch. Coun.
Thomas School of Global Leadership	Thom. Sch. of Global Lead. - MA in Leadership
Strategic Communications	Strategic Coms. - Alumni Engagement
Strategic Communications	Strategic Coms. - Communications
Strategic Communications	Strategic Coms. - Evangel Corner/Mailroom
Strategic Initiatives	
Student Affairs	Student Affairs - Housing
Student Affairs	Student Affairs - Scraper Counseling Center
Student Affairs	Student Affairs - Student Development
Student Affairs	Student Affairs - Student Life
Student Affairs	Student Affairs - Student Services
University Advancement	
Cabinet member- Bobbie Spurgeon-Harris	Bobbie Spurgeon-Harris - Product Development
Cabinet Member- Dr. Sharon Lease	
Cabinet Member- Amanda Harris	
Cabinet Member- Ashley Gotcher	
Cabinet Member- Dean Meadows	
Cabinet Member- Dan Fisher	
Cabinet Member- Jody Allen	
